CPU,CPI,INSTRET,CYCLES,BENCH
torvs9p1,0.936,17890330,16748025,1.928
torvs9p2,0.910,17890377,16297518,1.989
torvs9p2,0.952,17890672,17047655,1.890
torvs9p3,0.846,17890263,15146953,2.163
torvs9p4,0.796,17890289,14246587,2.322
torvs9p5,0.773,17890282,13844196,2.400
torvs8p1,0.952,17890672,17047655,1.890
torvs8p2,0.927,17890598,16597081,1.948
torvs8p3,0.863,17890570,15446614,2.114
torvs8p4,0.813,17890550,14546162,2.266
torvs8p5,0.790,17890576,14143830,2.341
torvs7p1,0.986,17890683,17650179,1.817
torvs7p2,0.961,17890651,17199701,1.871
torvs7p3,0.899,17890620,16099329,2.017
torvs7p4,0.849,17890563,15198959,2.155
torvs7p5,0.829,17890538,14847615,2.214
torvs6p1,1.152,17388529,20046958,1.575
torvs6p2,1.115,17388512,19396419,1.635
torvs6p3,1.049,17388474,18245775,1.750
torvs6p4,0.997,17388497,17345306,1.853
torvs6p5,0.965,17388412,16789174,1.922
torvs5p1,1.176,17388496,20451657,1.541
torvs5p2,1.150,17388531,20001120,1.580
torvs5p3,1.084,17388487,18850577,1.688
torvs5p4,1.032,17388446,17950048,1.783
torvs5p5,1.009,17388482,17545733,1.829
torvs5p1,1.125,16388367,18452083,1.546
torvs5p2,1.098,16388337,18001579,1.585
torvs5p3,1.028,16388306,16851049,1.693
torvs5p4,0.973,16388276,15950516,1.789
torvs5p5,0.948,16388296,15546237,1.835
torvs6p1,1.101,16388376,18047430,1.580
torvs6p2,1.061,16388331,17396903,1.639
torvs6p3,0.991,16388273,16246286,1.756
torvs6p4,0.936,16388309,15345812,1.859
torvs6p5,0.902,16388238,14789834,1.928
torvs7p1,0.954,16388291,15647302,1.823
torvs7p2,0.927,16388331,15196788,1.877
torvs7p3,0.860,16388265,14096440,2.025
torvs7p4,0.805,16388195,13196083,2.163
torvs7p5,0.783,16388145,12844739,2.222
torvs8p1,0.917,16388260,15041273,1.896
torvs8p2,0.890,16388251,14590784,1.955
torvs8p3,0.820,16388214,13440307,2.122
torvs8p4,0.765,16388193,12539876,2.276
torvs8p5,0.740,16388180,12135726,2.351
torvs9p1,0.899,16388271,14741750,1.935
torvs9p2,0.872,16388279,14291228,1.996
torvs9p3,0.801,16388215,13140693,2.171
torvs9p4,0.746,16388180,12240471,2.331
torvs9p5,0.722,16388125,11836376,2.410
