CPU,BENCH,CPI,CYCLES,INSTRET
torvs9p1,1.391,0.967,216040007,223307589
torvs9p2,1.350,0.997,222725197,223307902
torvs9p3,1.469,0.915,204629803,223307597
torvs9p4,1.506,0.893,199629176,223307579
torvs9p5,1.602,0.839,187215549,222951262
torvs8p1,1.350,0.997,222725197,223307902
torvs8p2,1.351,0.995,222436459,223307918
torvs8p3,1.414,0.951,212610314,223307892
torvs8p4,1.448,0.929,207559397,223307844
torvs8p5,1.541,0.872,194589981,222951224
torvs7p1,1.341,1.003,224144563,223307685
torvs7p2,1.343,1.002,223855807,223307691
torvs7p3,1.437,0.936,209230284,223307863
torvs7p4,1.472,0.914,204251997,223307888
torvs7p5,1.529,0.880,196216824,222951300
torvs6p1,1.111,1.211,270412511,223188595
torvs6p2,1.112,1.209,270122528,223188539
torvs6p3,1.179,1.141,254894034,223188555
torvs6p4,1.203,1.118,249757074,223188510
torvs6p5,1.253,1.073,239307679,222951182
torvs5p1,1.077,1.249,279051944,223188444
torvs5p2,1.078,1.248,278763166,223188496
torvs5p3,1.140,1.180,263534828,223188535
torvs5p4,1.163,1.157,258397824,223188517
torvs5p5,1.210,1.112,247946077,222951259
torvs1p1,0.763,1.762,392980514,222951471
torvs1p2,0.763,1.762,392983986,222951483
torvs1p3,0.749,1.794,400152494,222951388
torvs1p4,0.758,1.773,395400989,222951455
torvs1p5,0.785,1.713,381998429,222951466


torvs5C1,1.176,0.962,255049376,264929866
torvs5C2,1.179,0.960,254419529,264929862
torvs5C3,1.203,0.940,249282555,264929850
torvs5C4,1.222,0.937,245521071,261875904

torvs7C1,1.434,0.865,209177396,241796193
torvs7C2,1.437,0.863,208754824,241796203
torvs7C3,1.472,0.842,203776551,241796197
torvs7C4,1.523,0.824,196922521,238697719

torvs9C1,1.465,0.861,204688491,237652544
torvs9C2,1.469,0.859,204213176,237640227
torvs9C3,1.506,0.838,199190709,237662041
torvs9C4,1.576,0.812,190349751,234234933
