CPU,BENCH,CPI,CYCLES,INSTRET
torvs5C1,1.176,0.962,255049376,264929866
torvs5C2,1.179,0.960,254419529,264929862
torvs5C3,1.203,0.940,249282555,264929850
torvs5C4,1.253,0.938,239307808,255042338

torvs7C1,1.434,0.865,209177396,241796193
torvs7C2,1.437,0.863,208754824,241796203
torvs7C3,1.472,0.842,203776551,241796197
torvs7C4,1.529,0.819,196216818,239468343

torvs9C1,1.465,0.861,204688491,237652544
torvs9C2,1.469,0.859,204213176,237640227
torvs9C3,1.506,0.838,199190709,237662041
torvs9C4,1.600,0.798,187469656,234724755
