CPU,CPI,INSTRET,CYCLES,BENCH
torvs9p1,0.947,17890248,16948603,1.902
torvs9p2,0.952,17890672,17047687,1.890
torvs9p3,0.846,17890263,15146953,2.163
torvs9p4,0.796,17890297,14246333,2.322
torvs9p5,0.773,17890282,13844196,2.400
torvs8p1,0.952,17890672,17047687,1.890
torvs8p2,0.927,17890598,16597113,1.948
torvs8p3,0.866,17890603,15496656,2.107
torvs8p4,0.815,17890524,14596156,2.257
torvs8p5,0.793,17890563,14193854,2.331
torvs7p1,0.986,17890683,17650179,1.817
torvs7p2,0.961,17890651,17199701,1.871
torvs7p3,0.899,17890620,16099329,2.017
torvs7p4,0.849,17890563,15198959,2.155
torvs7p5,0.849,17890563,15198959,2.155
torvs6p1,1.152,17388529,20046958,1.575
torvs6p2,1.115,17388512,19396419,1.635
torvs6p3,1.049,17388474,18245775,1.750
torvs6p4,0.997,17388497,17345306,1.853
torvs6p5,0.997,17388497,17345306,1.853
torvs5p1,1.176,17388496,20451657,1.541
torvs5p2,1.150,17388531,20001120,1.580
torvs5p3,1.084,17388487,18850577,1.688


