CPU,CPI,BENCH
torvs9p1,0.875,9.204
torvs9p2,0.923,8.725
torvs9p3,0.831,9.696
torvs9p4,0.815,9.879
torvs9p5,0.795,10.137
torvs8p1,0.923,8.725
torvs8p2,0.913,8.818
torvs8p3,0.884,9.108
torvs8p4,0.872,9.238
torvs8p5,0.851,9.460
torvs7p1,0.987,8.164
torvs7p2,0.977,8.246
torvs7p3,0.926,8.695
torvs7p4,0.914,8.813
torvs7p5,0.914,8.813
torvs6p1,1.158,6.958
torvs6p2,1.143,7.046
torvs6p3,1.090,7.389
torvs6p4,1.078,7.474
torvs6p5,1.078,7.474
torvs5p1,1.194,6.745
torvs5p2,1.185,6.800
torvs5p3,1.132,7.118

CPU,CPI,BENCH,CYCLES,INSTRET
torvs9p1,0.879,9.166,87496410,99431464
torvs9p2,0.919,8.761,91536193,99431775
torvs9p3,0.831,9.696,82728979,99431523
torvs9p4,0.818,9.844,81492337,99431521
torvs9p5,0.795,10.137,79142033,99432336
torvs8p1,0.919,8.761,91536193,99431775
torvs8p2,0.910,8.855,90567605,99431787
torvs8p3,0.880,9.152,87635858,99431674
torvs8p4,0.868,9.283,86399829,99431706
torvs8p5,0.847,9.507,84369611,99431753
torvs7p1,0.987,8.164,98209681,99431689
torvs7p2,0.977,8.246,97241141,99431700
torvs7p3,0.926,8.695,92229529,99431785
torvs7p4,0.914,8.813,90994178,99431781
torvs7p5,0.914,8.813,90994178,99431781
torvs6p1,1.158,6.958,115190610,99368534
torvs6p2,1.143,7.046,113753580,99368350
torvs6p3,1.090,7.389,108493569,99368412
torvs6p4,1.078,7.474,107255190,99368420
torvs6p5,1.038,7.763,103270212,99368416
torvs5p1,1.194,6.745,118830587,99368522
torvs5p2,1.185,6.800,117862010,99368491
torvs5p3,1.132,7.118,112601724,99368438
torvs5p4,1.119,7.198,111363374,99368454
torvs5p5,1.091,7.385,108539993,99368412
