CORE,CPI,INSTRET,CYCLES,MIPS,HITS,%BR,%JAL,%JALR,NBBR,NBJAL,NBJALR,BHT
core3,1.296,16506257,21393938,1.347,49.377,19.696,1.832,1.528,3254359,302651,252484,5
core3,1.296,16506257,21393938,1.347,49.377,19.696,1.832,1.528,3254359,302651,252484,6
core3,1.296,16506257,21393938,1.347,49.377,19.696,1.832,1.528,3254359,302651,252484,7
core3,1.296,16506257,21393938,1.347,49.377,19.696,1.832,1.528,3254359,302651,252484,8
core3,1.296,16506257,21393938,1.347,49.377,19.696,1.832,1.528,3254359,302651,252484,9
core3,1.296,16506257,21393938,1.347,49.377,19.696,1.832,1.528,3254359,302651,252484,10
core3,1.296,16506257,21393938,1.347,49.377,19.696,1.832,1.528,3254359,302651,252484,11
core3,1.296,16506257,21393938,1.347,49.377,19.696,1.832,1.528,3254359,302651,252484,12
core3,1.296,16506257,21393938,1.347,49.377,19.696,1.832,1.528,3254359,302651,252484,13
core3,1.296,16506257,21393938,1.347,49.377,19.696,1.832,1.528,3254359,302651,252484,14
core3,1.296,16506257,21393938,1.347,49.377,19.696,1.832,1.528,3254359,302651,252484,15
core3,1.296,16506257,21393938,1.347,49.377,19.696,1.832,1.528,3254359,302651,252484,16
