CORE,CPI,RAYS,%ACERTO,CYCLES,INSTRET,%BR,%JAL,%JALR,NBBR,NBJAL,NBJALR,BHT
core5,1.160,6.948,74.630,115132661,99242837,25.655,2.070,1.459,25460988,2054087,1447567,16
core5,1.160,6.948,74.630,115132661,99242837,25.655,2.070,1.459,25460988,2054087,1447567,15
core5,1.160,6.948,74.630,115132661,99242837,25.655,2.070,1.459,25460988,2054087,1447567,14
core5,1.160,6.948,74.630,115132661,99242837,25.655,2.070,1.459,25460988,2054087,1447567,13
core5,1.160,6.947,74.590,115152827,99242833,25.655,2.070,1.459,25460986,2054087,1447567,12
core5,1.160,6.946,74.547,115174828,99242828,25.655,2.070,1.459,25460986,2054087,1447567,11
core5,1.161,6.943,74.443,115227616,99242864,25.655,2.070,1.459,25460994,2054087,1447567,10
core5,1.162,6.936,74.228,115337341,99242849,25.655,2.070,1.459,25460994,2054087,1447567,9
core5,1.163,6.926,73.892,115508209,99242855,25.655,2.070,1.459,25460994,2054087,1447567,8
core5,1.167,6.903,73.137,115892573,99242875,25.655,2.070,1.459,25460994,2054087,1447567,7
core5,1.172,6.873,72.145,116397763,99242859,25.655,2.070,1.459,25460994,2054087,1447567,6
core5,1.177,6.848,71.323,116816211,99242841,25.655,2.070,1.459,25460994,2054087,1447567,5
