CORE,CPI,INSTRET,CYCLES,MIPS,%ACERTO,%BR,%JAL,%JALR,NBBR,NBJAL,NBJALR,BHT
core6,1.082,16388340,17747585,1.607,93.725,19.591,1.846,1.540,3212351,302640,252473,16
core6,1.082,16388340,17747585,1.607,93.725,19.591,1.846,1.540,3212351,302640,252473,15
core6,1.082,16388340,17747585,1.607,93.725,19.591,1.846,1.540,3212351,302640,252473,14
core6,1.082,16388340,17747585,1.607,93.725,19.591,1.846,1.540,3212351,302640,252473,13
core6,1.082,16388340,17747585,1.607,93.725,19.591,1.846,1.540,3212351,302640,252473,12
core6,1.082,16388340,17747585,1.607,93.725,19.591,1.846,1.540,3212351,302640,252473,11
core6,1.082,16388340,17747585,1.607,93.725,19.591,1.846,1.540,3212351,302640,252473,10
core6,1.082,16388340,17747587,1.607,93.725,19.591,1.846,1.540,3212351,302640,252473,9
core6,1.082,16388340,17747585,1.607,93.725,19.591,1.846,1.540,3212351,302640,252473,8
core6,1.082,16388340,17747587,1.607,93.725,19.591,1.846,1.540,3212351,302640,252473,7
core6,1.095,16388361,17947570,1.589,90.612,19.591,1.846,1.540,3212346,302640,252473,6
core6,1.107,16388380,18147671,1.571,87.498,19.591,1.846,1.540,3212367,302643,252476,5
