CORE,C/MHz,CPI,HITS,CYCLES,INSTRET,%BR,%JAL,%JALR,NBBR,NBJAL,NBJALR,BHT,BPH
core7,1.090,1.233,69.323,275043751,222960665,27.911,1.938,1.589,62229769,4320532,3542144,5,7
core7,1.100,1.222,71.268,272622329,222960782,27.911,1.938,1.589,62229782,4320535,3542147,6,7
core7,1.109,1.213,72.956,270521616,222960747,27.911,1.938,1.589,62229782,4320535,3542147,7,7
core7,1.113,1.208,73.864,269391737,222960714,27.911,1.938,1.589,62229782,4320535,3542147,8,7
core7,1.116,1.205,74.445,268668269,222960748,27.911,1.938,1.589,62229782,4320535,3542147,9,7
core7,1.121,1.200,75.254,267661507,222960700,27.911,1.938,1.589,62229782,4320535,3542147,10,7
core7,1.122,1.199,75.487,267371926,222960721,27.911,1.938,1.589,62229782,4320535,3542147,11,7
core7,1.122,1.198,75.569,267269084,222960687,27.911,1.938,1.589,62229782,4320535,3542147,12,7
core7,1.122,1.198,75.622,267203603,222960750,27.911,1.938,1.589,62229782,4320535,3542147,13,7
core7,1.123,1.198,75.646,267174254,222960713,27.911,1.938,1.589,62229782,4320535,3542147,14,7
core7,1.123,1.198,75.651,267167002,222960713,27.911,1.938,1.589,62229782,4320535,3542147,15,7
core7,1.123,1.198,75.653,267165715,222960784,27.911,1.938,1.589,62229782,4320535,3542147,16,7
