CORE,CPI,INSTRET,CYCLES,MIPS,HITS,%BR,%JAL,%JALR,NBBR,NBJAL,NBJALR,BHT,BHP
core7,1.192,16388392,19550189,1.458,65.651,19.591,1.846,1.540,3212382,302643,252476,5,7
core7,1.192,16388408,19549875,1.458,65.657,19.591,1.846,1.540,3212382,302643,252476,6,7
core7,1.192,16388404,19549467,1.458,65.666,19.591,1.846,1.540,3212382,302643,252476,7,7
core7,1.064,16388350,17447881,1.635,98.390,19.591,1.846,1.540,3212346,302640,252473,8,7
core7,1.064,16388350,17447479,1.635,98.398,19.591,1.846,1.540,3212346,302640,252473,9,7
core7,1.064,16388350,17447465,1.635,98.398,19.591,1.846,1.540,3212346,302640,252473,10,7
core7,1.064,16388350,17447441,1.635,98.399,19.591,1.846,1.540,3212346,302640,252473,11,7
core7,1.064,16388354,17447373,1.635,98.401,19.591,1.846,1.540,3212346,302640,252473,12,7
core7,1.064,16388354,17447373,1.635,98.401,19.591,1.846,1.540,3212346,302640,252473,13,7
core7,1.064,16388354,17447373,1.635,98.401,19.591,1.846,1.540,3212346,302640,252473,14,7
core7,1.064,16388354,17447373,1.635,98.401,19.591,1.846,1.540,3212346,302640,252473,15,7
core7,1.064,16388354,17447373,1.635,98.401,19.591,1.846,1.540,3212346,302640,252473,16,7
