CORE,CPI,RAYS,HITS,CYCLES,INSTRET,%BR,%JAL,%JALR,NBBR,NBJAL,NBJALR,BHT,BPH
core8,1.199,6.721,66.971,119032371,99242843,25.655,2.070,1.459,25460986,2054087,1447567,5,14
core8,1.192,6.759,68.300,118355971,99242851,25.655,2.070,1.459,25460986,2054087,1447567,6,14
core8,1.184,6.806,69.895,117543579,99242821,25.655,2.070,1.459,25460986,2054087,1447567,7,14
core8,1.175,6.855,71.548,116701961,99242865,25.655,2.070,1.459,25460994,2054087,1447567,8,14
core8,1.164,6.920,73.701,115605534,99242840,25.655,2.070,1.459,25460994,2054087,1447567,9,14
core8,1.153,6.990,75.983,114443252,99242846,25.655,2.070,1.459,25460986,2054087,1447567,10,14
core8,1.137,7.088,79.077,112867755,99242682,25.655,2.070,1.459,25460917,2054084,1447564,11,14
core8,1.126,7.158,81.238,111767576,99242768,25.655,2.070,1.459,25460938,2054087,1447567,12,14
core8,1.112,7.245,83.885,110419764,99242776,25.655,2.070,1.459,25460954,2054087,1447567,13,14
core8,1.103,7.304,85.621,109535296,99242768,25.655,2.070,1.459,25460946,2054087,1447567,14,14
core8,1.103,7.304,85.621,109535296,99242768,25.655,2.070,1.459,25460946,2054087,1447567,15,14
core8,1.103,7.304,85.621,109535296,99242768,25.655,2.070,1.459,25460946,2054087,1447567,16,14
