IMPLEM	  CM/MHZ    CPI
core2.v	  0.723	    1.860
core2_1.v 0.723     1.860
core3.v	  0.930	    1.445
core4.v	  1.121	    1.199
core5(12) 1.099     1.223
core5(11) 1.099     1.223
core5(10) 1.099     1.223
core5(9)  1.099     1.223
core5(8)  1.098     1.225
core5(7)  1.097     1.226
core5(6)  1.097     1.226
core5(5)  1.094     1.229
core5(4)  1.086     1.239
core6(12) 1.128     1.192
core6(11) 1.128     1.192
core6(10) 1.128     1.192
core6(9)  1.128     1.193
core6(8)  1.127     1.193
core6(7)  1.126     1.195
core6(6)  1.125     1.195
core6(5)  1.122     1.198
core6(4)  1.117     1.204
core7(12,9)  1.128        1.192
core7(9,6)  1.116       1.205
core7(6,3)  1.114       1.207
core8(12,9)  1.127        1.193
core8(9,6)  1.116       1.205
core8(6,3)  1.116       1.204
