IMPLE     CPI	    INSTRET   CYCLES 	MIPS
core2.v	  1.813	    16388574  29721095	0.959
core2_1.v 1.813	    16388574  29721095	0.959
core3.v	  1.291	    16388429  21158484	1.348
core4.v   1.119	    16388419  18353592	1.554
core5(3)  1.144     16388371  18748756  1.521
core5(3)  1.144     16388371  18748756  1.521
core5(12) 1.107     16388380  18148159  1.571
core5(11) 1.107     16388380  18148159  1.571
core5(10) 1.107     16388380  18148159  1.571
core5(9)  1.107     16388380  18148165  1.571
core5(8)  1.107     16388380  18148163  1.571
core5(7)  1.107     16388380  18148167  1.571
core5(6)  1.131     16388374  18548155  1.537
core5(5)  1.156     16388386  18948173  1.505
core5(4)  1.156     16388394  18948459  1.505
core6(12) 1.082     16388340  17747585  1.607
core6(11) 1.082     16388340  17747585  1.607
core6(10) 1.082     16388340  17747585  1.607
core6(9)  1.082     16388340  17747587  1.607
core6(8)  1.082     16388340  17747585  1.607
core6(7)  1.082     16388340  17747587  1.607
core6(6)  1.095     16388361  17947570  1.589
core6(5)  1.107     16388380  18147671  1.571
core6(4)  1.119     16388419  18348084  1.554
core7(12,9)  1.064        16388354     17447511     1.635
core7(9,6)  1.064       16388350    17447429    1.635
core7(6,3)  1.089       16388337    17847880    1.598
core8(12,9)  1.064        16388358     17447499     1.635
core8(9,6)  1.070       16388371    17547618    1.625
core8(6,3)  1.101       16388376    18048173    1.580
