IMPLE	  CPI	    RAYSTONES
core2.v	  1.883     4.280
core2_1.v 1.883     4.280
core3.v	  1.422     5.666
core4.v   1.214     6.635
core5(3)  1.190     6.773
core5(3)  1.190     6.773
core5(12) 1.160     6.947
core5(11) 1.160     6.946
core5(10) 1.161     6.943
core5(9)  1.162     6.936
core5(8)  1.163     6.926
core5(7)  1.167     6.903
core5(6)  1.172     6.873
core5(5)  1.177     6.848
core5(4)  1.184     6.808
core6(12) 1.147     7.023
core6(11) 1.148     7.022
core6(10) 1.148     7.018
core6(9)  1.149     7.010
core6(8)  1.151     7.000
core6(7)  1.154     6.981
core6(6)  1.161     6.943
core6(5)  1.163     6.926
core6(4)  1.168     6.897
core7(12,9)  1.122        7.180
core7(9,6)  1.139       7.076
core7(6,3)  1.165       6.918
core8(12,9)  1.122        7.181
core8(9,6)  1.141       7.065
core8(6,3)  1.166       6.910
