CPU,ALMs,REGS,BMB,RAMB,FMAX1,FMAX2
torvs9C1,3028,2042,1081344,132,84.29,85.18
torvs9C2,3066,2089,1081344,132,87.47,87.80
torvs9C3,3144,2114,1081344,132,79.76,80.93
torvs9C4,3273,2261,1146880,140,76.44,78.77

torvs7C1,3020,2008,1015808,124,85.12,85.98
torvs7C2,3074,2015,1015808,124,85.48,86.13
torvs7C3,3159,2092,1015808,124,83.67,83.70
torvs7C4,3264,2155,1015808,124,80.63,80.34

torvs5C1,3023,1954,1015808,124,88.95,89.83
torvs5C2,3093,2031,1015808,124,89.33,90.60
torvs5C3,3197,2051,1015808,124,84.15,85.94
torvs5C4,3256,2170,1015808,124,79.46,80.15
