CPU,LUT,REG,CLS,BSRAM,FMAX_SYN,FMAX_PNR
torvs9p1,7285,2241,4454,48,53.308,40.211
torvs9p2,7490,2299,4580,48,51.073,32.748
torvs9p3,7367,2306,4543,48,51.683,31.730
torvs9p4,8291,2347,5019,48,48.635,28.245
torvs9p5,8633,2366,5232,48,48.879,27.417
torvs8p1,7285,2241,4454,48,53.308,40.211
torvs8p2,7490,2299,4580,48,51.073,32.748
torvs8p3,7472,2298,4554,48,50.147,32.011
torvs8p4,8253,2306,4959,48,49.182,31.574
torvs8p5,8653,2321,5171,48,47.594,31.573
torvs7p1,6595,1729,3779,48,51.434,37.596
torvs7p2,6710,1787,3808,48,49.164,34.840
torvs7p3,6665,1786,3774,48,48.876,35.005
torvs7p4,7406,1827,4193,48,51.616,29.577
torvs7p5,7618,1834,4342,48,45.748,26.387
torvs6p1,6436,1663,3658,48,52.823,39.539
torvs6p2,6666,1786,3754,48,51.351,34.600
torvs6p3,6699,1785,3823,48,50.975,36.372
torvs6p4,7396,1826,4192,48,49.897,29.554
torvs6p5,7396,1826,4192,48,49.897,29.554
torvs5p1,6299,1710,3589,48,49.773,30.887
torvs5p2,6738,1774,3838,48,50.582,37.604
torvs5p3,6548,1773,3741,48,51.938,35.357
torvs5p4,7348,1781,4159,48,51.780,34.811
torvs5p5,7348,1781,4159,48,51.780,34.811
